# power_maxi = 0.03
# antistokes_power = 0.009
# window_length = 1.5
# polyorder = 1
# deriv_max = 3.0e7
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1908-57_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
0.00033046423800821024,75475.34223872215,-1.5249028913618175e7,73941.86088168026
0.00033046423800821024,76425.34223872215,-1.5249028913618175e7,73941.86088168026
0.00033531498739177345,76772.51218661001,-1.4985166137430688e7,73874.65335541117
0.00033531498739177345,70522.51218661001,-1.4985166137430688e7,73874.65335541117
0.00033531498739177345,71572.51218661001,-1.4985166137430688e7,73874.65335541117
0.00033531498739177345,74972.51218661001,-1.4985166137430688e7,73874.65335541117
0.00033531498739177345,77572.51218661001,-1.4985166137430688e7,73874.65335541117
0.00033531498739177345,74672.51218661001,-1.4985166137430688e7,73874.65335541117
0.00034016573677658014,72219.68213449715,-1.5065928572060063e7,73813.12133684808
0.00034016573677658014,71969.68213449715,-1.5065928572060063e7,73813.12133684808
0.00034016573677658014,71219.68213449715,-1.5065928572060063e7,73813.12133684808
0.00034501648616263073,70216.85208238356,-1.5740318343624258e7,73778.28315182921
0.0003498672355499256,76514.02203026925,-1.5746022344952006e7,73701.47338265419
0.0003498672355499256,72064.02203026925,-1.5746022344952006e7,73701.47338265419
0.0003498672355499256,71664.02203026925,-1.5746022344952006e7,73701.47338265419
0.0003498672355499256,72514.02203026925,-1.5746022344952006e7,73701.47338265419
0.0003498672355499256,74664.02203026925,-1.5746022344952006e7,73701.47338265419
0.00035471798493846537,73511.1919781542,-1.6236153934361743e7,73624.91599685671
0.0003595687343282506,73158.36192603843,-1.6910221289742596e7,73519.15133294492
0.0003644194837192818,76255.53187392194,-1.710084706060813e7,73431.45270654441
0.0003644194837192818,75555.53187392194,-1.710084706060813e7,73431.45270654441
0.0003644194837192818,74005.53187392194,-1.710084706060813e7,73431.45270654441
0.00036927023311155924,75752.70182180472,-1.716411457011776e7,73254.12220339378
0.00036927023311155924,76502.70182180472,-1.716411457011776e7,73254.12220339378
0.00036927023311155924,75752.70182180472,-1.716411457011776e7,73254.12220339378
0.00036927023311155924,67802.70182180472,-1.716411457011776e7,73254.12220339378
0.0003741209825050837,71799.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,72849.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,74749.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,75999.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,74199.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,77049.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003741209825050837,70999.87176968677,-1.7567653417221315e7,73190.55193189191
0.0003789717318998557,68897.04171756809,-1.785280550777468e7,73096.87152533712
0.0003838224812958756,75994.21166544869,-1.6804524555900685e7,72991.68337321481
0.0003838224812958756,70594.21166544869,-1.6804524555900685e7,72991.68337321481
0.0003886732306931438,71591.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,73341.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,71091.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,74441.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,71441.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,70641.38161332856,-1.7098536886538316e7,72946.7663112984
0.0003886732306931438,74091.38161332856,-1.7098536886538316e7,72946.7663112984
0.000393523980091661,70438.55156120769,-1.6787805892092362e7,72874.79090273351
0.000393523980091661,72238.55156120769,-1.6787805892092362e7,72874.79090273351
0.00039837472949142777,73235.7215090861,-1.6575052224906765e7,72831.7575140188
0.00040322547889244453,72232.89145696377,-1.7200457801292937e7,72800.4189156371
0.00040322547889244453,74432.89145696377,-1.7200457801292937e7,72800.4189156371
0.00040322547889244453,70582.89145696377,-1.7200457801292937e7,72800.4189156371
